contig_name	Start Coor	Stop Coordinate	ORF_code	Sum of per_base coverage	human_readable_names
contig-100_0	28693.0	31053.0	KEAHIEPK_00038	69772.0	hypothetical protein
contig-100_0	31007.0	31240.0	KEAHIEPK_00039	5328.0	hypothetical protein
contig-100_0	31330.0	31728.0	KEAHIEPK_00040	11935.0	hypothetical protein
contig-100_0	31743.0	32684.0	KEAHIEPK_00041	27260.0	hypothetical protein
contig-100_0	32694.0	33107.0	KEAHIEPK_00042	6769.0	hypothetical protein
contig-100_0	33104.0	33502.0	KEAHIEPK_00043	19041.0	hypothetical protein
contig-100_0	33502.0	33873.0	KEAHIEPK_00044	7450.0	hypothetical protein
contig-100_0	33876.0	34385.0	KEAHIEPK_00045	7778.0	hypothetical protein
contig-100_0	34452.0	35006.0	KEAHIEPK_00046	15603.0	hypothetical protein
contig-100_0	35018.0	35464.0	KEAHIEPK_00047	9455.0	hypothetical protein
contig-100_0	35498.0	36592.0	KEAHIEPK_00048	27727.0	hypothetical protein
contig-100_0	36761.0	37651.0	KEAHIEPK_00049	28132.0	hypothetical protein
contig-100_0	37656.0	39536.0	KEAHIEPK_00050	45295.0	hypothetical protein
contig-100_0	39529.0	39693.0	KEAHIEPK_00051	4162.0	hypothetical protein
contig-100_0	39693.0	41126.0	KEAHIEPK_00052	28058.0	hypothetical protein
contig-100_0	41137.0	42684.0	KEAHIEPK_00053	33773.0	hypothetical protein
contig-100_0	42671.0	43000.0	KEAHIEPK_00054	8064.0	hypothetical protein
contig-100_0	43002.0	43205.0	KEAHIEPK_00055	3273.0	hypothetical protein
contig-100_0	43192.0	43680.0	KEAHIEPK_00056	10191.0	hypothetical protein
contig-100_0	43677.0	44225.0	KEAHIEPK_00057	13089.0	hypothetical protein
contig-100_0	44306.0	44608.0	KEAHIEPK_00058	7511.0	hypothetical protein
contig-100_0	44605.0	45036.0	KEAHIEPK_00059	12428.0	hypothetical protein
contig-100_0	45451.0	46524.0	KEAHIEPK_00060	28953.0	DNA ligase
contig-100_0	46521.0	46706.0	KEAHIEPK_00061	3336.0	hypothetical protein
contig-100_0	46785.0	47006.0	KEAHIEPK_00062	4491.0	hypothetical protein
contig-100_0	47006.0	47452.0	KEAHIEPK_00063	12419.0	hypothetical protein
contig-100_0	47452.0	47871.0	KEAHIEPK_00064	9311.0	hypothetical protein
contig-100_0	47849.0	48352.0	KEAHIEPK_00065	14489.0	hypothetical protein
contig-100_0	48342.0	48752.0	KEAHIEPK_00066	9253.0	hypothetical protein
contig-100_0	48739.0	48969.0	KEAHIEPK_00067	5344.0	hypothetical protein
contig-100_0	48956.0	49147.0	KEAHIEPK_00068	19102.0	hypothetical protein
contig-100_0	49134.0	49397.0	KEAHIEPK_00069	6401.0	hypothetical protein
contig-100_0	49399.0	49701.0	KEAHIEPK_00070	11135.0	hypothetical protein
contig-100_0	49734.0	49958.0	KEAHIEPK_00071	5015.0	hypothetical protein
contig-100_0	49971.0	50252.0	KEAHIEPK_00072	5289.0	hypothetical protein
contig-100_0	50462.0	50728.0	KEAHIEPK_00073	10225.0	hypothetical protein
contig-100_0	50715.0	50912.0	KEAHIEPK_00074	4284.0	hypothetical protein
contig-100_0	50942.0	51226.0	KEAHIEPK_00075	5420.0	hypothetical protein
contig-100_0	51223.0	51798.0	KEAHIEPK_00076	19553.0	hypothetical protein
contig-100_0	51788.0	52306.0	KEAHIEPK_00077	11034.0	hypothetical protein
contig-100_0	52257.0	52508.0	KEAHIEPK_00078	3659.0	hypothetical protein
contig-100_0	52505.0	52903.0	KEAHIEPK_00079	11374.0	hypothetical protein
contig-100_0	52903.0	53433.0	KEAHIEPK_00080	10455.0	hypothetical protein
contig-100_0	53405.0	53860.0	KEAHIEPK_00081	10909.0	hypothetical protein
contig-100_0	54143.0	54475.0	KEAHIEPK_00082	8926.0	hypothetical protein
contig-100_0	54477.0	54569.0	KEAHIEPK_00083	1432.0	hypothetical protein
contig-100_0	54579.0	55079.0	KEAHIEPK_00084	10598.0	hypothetical protein
contig-100_0	55119.0	55373.0	KEAHIEPK_00085	4522.0	hypothetical protein
contig-100_1	60.0	326.0	KEAHIEPK_00086	2017.0	hypothetical protein
contig-100_1	376.0	8100.0	KEAHIEPK_00087	91697.0	hypothetical protein
contig-100_1	8104.0	10653.0	KEAHIEPK_00088	35328.0	hypothetical protein
contig-100_1	10656.0	11363.0	KEAHIEPK_00089	6763.0	hypothetical protein
contig-100_1	11375.0	12091.0	KEAHIEPK_00090	6635.0	hypothetical protein
contig-100_1	12101.0	12970.0	KEAHIEPK_00091	7886.0	hypothetical protein
contig-100_1	12970.0	13632.0	KEAHIEPK_00092	7910.0	hypothetical protein
contig-100_1	13632.0	14318.0	KEAHIEPK_00093	4816.0	hypothetical protein
contig-100_1	14315.0	14554.0	KEAHIEPK_00094	2080.0	hypothetical protein
contig-100_1	14511.0	16790.0	KEAHIEPK_00095	18126.0	hypothetical protein
contig-100_1	16794.0	18029.0	KEAHIEPK_00096	12172.0	hypothetical protein
contig-100_1	18067.0	18504.0	KEAHIEPK_00097	5468.0	hypothetical protein
contig-100_1	18565.0	19083.0	KEAHIEPK_00098	8898.0	hypothetical protein
contig-100_1	19105.0	20199.0	KEAHIEPK_00099	14378.0	hypothetical protein
contig-100_1	20215.0	21021.0	KEAHIEPK_00100	8652.0	hypothetical protein
contig-100_1	21096.0	23066.0	KEAHIEPK_00101	22287.0	hypothetical protein
contig-100_1	23077.0	23616.0	KEAHIEPK_00102	7518.0	hypothetical protein
contig-100_1	23582.0	25519.0	KEAHIEPK_00103	19543.0	hypothetical protein
contig-100_1	25470.0	26102.0	KEAHIEPK_00104	6032.0	hypothetical protein
contig-100_1	26316.0	26624.0	KEAHIEPK_00105	2333.0	hypothetical protein
contig-100_1	26748.0	27086.0	KEAHIEPK_00106	3700.0	hypothetical protein
contig-100_1	27089.0	28006.0	KEAHIEPK_00107	13681.0	hypothetical protein
contig-100_1	28022.0	28690.0	KEAHIEPK_00108	7495.0	hypothetical protein
contig-100_2	2271.0	2372.0	KEAHIEPK_00109	1184.0	hypothetical protein
contig-100_2	3966.0	5783.0	KEAHIEPK_00110	19046.0	hypothetical protein
contig-100_2	5832.0	15992.0	KEAHIEPK_00111	82366.0	hypothetical protein
contig-100_3	21.0	233.0	KEAHIEPK_00112	1285.0	hypothetical protein
contig-100_3	996.0	1232.0	KEAHIEPK_00113	2313.0	hypothetical protein
contig-100_3	1229.0	1519.0	KEAHIEPK_00114	6881.0	hypothetical protein
contig-100_3	1577.0	1780.0	KEAHIEPK_00115	3213.0	hypothetical protein
contig-100_3	1796.0	2170.0	KEAHIEPK_00116	2954.0	hypothetical protein
contig-100_3	2167.0	3186.0	KEAHIEPK_00117	11508.0	hypothetical protein
contig-100_3	3186.0	3629.0	KEAHIEPK_00118	5611.0	hypothetical protein
contig-100_3	3631.0	7140.0	KEAHIEPK_00119	50858.0	putative protein YqbO
contig-100_3	7133.0	7267.0	KEAHIEPK_00120	2821.0	hypothetical protein
contig-100_3	7294.0	7617.0	KEAHIEPK_00121	3196.0	hypothetical protein
contig-100_3	7677.0	8192.0	KEAHIEPK_00122	7105.0	hypothetical protein
contig-100_3	8203.0	9375.0	KEAHIEPK_00123	15121.0	Putative prophage major tail sheath protein
contig-100_3	9509.0	9925.0	KEAHIEPK_00124	4944.0	hypothetical protein
contig-100_3	9925.0	10467.0	KEAHIEPK_00125	9178.0	hypothetical protein
contig-100_3	10561.0	11790.0	KEAHIEPK_00126	25367.0	hypothetical protein
contig-100_3	11787.0	12326.0	KEAHIEPK_00127	6753.0	hypothetical protein
contig-100_3	12328.0	13071.0	KEAHIEPK_00128	11727.0	hypothetical protein
contig-100_3	13064.0	13999.0	KEAHIEPK_00129	13286.0	hypothetical protein
contig-100_3	13996.0	14343.0	KEAHIEPK_00130	4189.0	hypothetical protein
contig-100_3	14343.0	14939.0	KEAHIEPK_00131	8345.0	hypothetical protein
contig-100_3	15072.0	15356.0	KEAHIEPK_00132	3322.0	hypothetical protein
contig-100_3	15349.0	15681.0	KEAHIEPK_00133	3301.0	hypothetical protein
contig-100_3	15678.0	15848.0	KEAHIEPK_00134	5997.0	hypothetical protein
contig-100_4	44.0	226.0	KEAHIEPK_00135	1289.0	hypothetical protein
contig-100_4	231.0	632.0	KEAHIEPK_00136	3498.0	hypothetical protein
contig-100_4	678.0	905.0	KEAHIEPK_00137	3236.0	hypothetical protein
contig-100_4	1013.0	1114.0	KEAHIEPK_00138	834.0	hypothetical protein
contig-100_4	1104.0	1313.0	KEAHIEPK_00139	1916.0	hypothetical protein
contig-100_4	1318.0	1608.0	KEAHIEPK_00140	3602.0	hypothetical protein
contig-100_4	1639.0	1953.0	KEAHIEPK_00141	3200.0	hypothetical protein
contig-100_4	1950.0	2447.0	KEAHIEPK_00142	4805.0	hypothetical protein
contig-100_4	2527.0	3366.0	KEAHIEPK_00143	7316.0	hypothetical protein
contig-100_4	3391.0	3564.0	KEAHIEPK_00144	1639.0	hypothetical protein
contig-100_4	3561.0	3839.0	KEAHIEPK_00145	2669.0	hypothetical protein
contig-100_4	3836.0	4096.0	KEAHIEPK_00146	2404.0	hypothetical protein
contig-100_4	4145.0	4471.0	KEAHIEPK_00147	2662.0	hypothetical protein
contig-100_4	4473.0	4691.0	KEAHIEPK_00148	1134.0	hypothetical protein
contig-100_4	4691.0	4858.0	KEAHIEPK_00149	1609.0	hypothetical protein
contig-100_4	4880.0	5077.0	KEAHIEPK_00150	3037.0	hypothetical protein
contig-100_4	5077.0	5448.0	KEAHIEPK_00151	3840.0	hypothetical protein
contig-100_4	5817.0	6119.0	KEAHIEPK_00152	2612.0	hypothetical protein
contig-100_4	6252.0	7247.0	KEAHIEPK_00153	10760.0	hypothetical protein
contig-100_4	7283.0	8194.0	KEAHIEPK_00154	9002.0	hypothetical protein
contig-100_4	8178.0	8912.0	KEAHIEPK_00155	6888.0	hypothetical protein
contig-100_4	8909.0	9427.0	KEAHIEPK_00156	5496.0	hypothetical protein
contig-100_4	9516.0	9728.0	KEAHIEPK_00157	1644.0	hypothetical protein
contig-100_4	9715.0	10245.0	KEAHIEPK_00158	5888.0	hypothetical protein
contig-100_4	10246.0	10827.0	KEAHIEPK_00159	7712.0	hypothetical protein
contig-100_4	10791.0	11012.0	KEAHIEPK_00160	2304.0	hypothetical protein
contig-100_4	11036.0	11392.0	KEAHIEPK_00161	3882.0	hypothetical protein
contig-100_4	11401.0	11775.0	KEAHIEPK_00162	1814.0	hypothetical protein
contig-100_4	11778.0	12311.0	KEAHIEPK_00163	6450.0	hypothetical protein
contig-100_4	12308.0	12661.0	KEAHIEPK_00164	7427.0	hypothetical protein
contig-100_4	12661.0	13029.0	KEAHIEPK_00165	3550.0	hypothetical protein
contig-100_4	13026.0	13454.0	KEAHIEPK_00166	5485.0	hypothetical protein
contig-100_4	13451.0	13609.0	KEAHIEPK_00167	1886.0	hypothetical protein
contig-100_4	13602.0	14009.0	KEAHIEPK_00168	5580.0	hypothetical protein
contig-100_4	14012.0	14209.0	KEAHIEPK_00169	2899.0	hypothetical protein
contig-100_5	4.0	315.0	KEAHIEPK_00170	1774.0	hypothetical protein
contig-100_5	312.0	476.0	KEAHIEPK_00171	1046.0	hypothetical protein
contig-100_5	473.0	1171.0	KEAHIEPK_00172	4472.0	Heme oxygenase 1
contig-100_5	1168.0	2262.0	KEAHIEPK_00173	12827.0	Aerobic cobaltochelatase subunit CobS
contig-100_5	2341.0	4527.0	KEAHIEPK_00174	29022.0	hypothetical protein
contig-100_5	4570.0	6315.0	KEAHIEPK_00175	19385.0	Nuclease SbcCD subunit C
contig-100_5	6312.0	6590.0	KEAHIEPK_00176	3540.0	hypothetical protein
contig-100_5	6590.0	7633.0	KEAHIEPK_00177	8059.0	hypothetical protein
contig-100_5	7630.0	8136.0	KEAHIEPK_00178	4594.0	Orotate phosphoribosyltransferase
contig-100_5	8121.0	8225.0	KEAHIEPK_00179	824.0	hypothetical protein
contig-100_5	8212.0	8382.0	KEAHIEPK_00180	1659.0	hypothetical protein
contig-100_5	8379.0	8942.0	KEAHIEPK_00181	3574.0	hypothetical protein
contig-100_5	9061.0	9480.0	KEAHIEPK_00182	3210.0	hypothetical protein
contig-100_5	9473.0	10936.0	KEAHIEPK_00183	17341.0	Reverse gyrase
contig-100_5	10936.0	11409.0	KEAHIEPK_00184	4069.0	hypothetical protein
contig-100_5	11406.0	11930.0	KEAHIEPK_00185	3373.0	hypothetical protein
contig-100_5	11956.0	12270.0	KEAHIEPK_00186	3600.0	hypothetical protein
contig-100_5	12263.0	12454.0	KEAHIEPK_00187	1092.0	hypothetical protein
contig-100_5	12438.0	12662.0	KEAHIEPK_00188	1416.0	hypothetical protein
contig-100_5	12746.0	13495.0	KEAHIEPK_00189	10492.0	hypothetical protein
contig-100_6	536.0	1153.0	KEAHIEPK_00190	4607.0	hypothetical protein
contig-100_6	1154.0	5941.0	KEAHIEPK_00191	51152.0	hypothetical protein
contig-100_6	5941.0	7311.0	KEAHIEPK_00192	12262.0	hypothetical protein
contig-100_6	7311.0	8513.0	KEAHIEPK_00193	10587.0	hypothetical protein
contig-100_6	8513.0	10846.0	KEAHIEPK_00194	25887.0	hypothetical protein
contig-100_7	186.0	716.0	KEAHIEPK_00195	3466.0	hypothetical protein
contig-100_7	709.0	1440.0	KEAHIEPK_00196	7249.0	hypothetical protein
contig-100_7	1636.0	2034.0	KEAHIEPK_00197	1880.0	hypothetical protein
contig-100_7	2107.0	3921.0	KEAHIEPK_00198	23845.0	Copper resistance protein A
contig-100_7	3931.0	4677.0	KEAHIEPK_00199	7515.0	Copper resistance protein B
contig-100_7	4835.0	6160.0	KEAHIEPK_00200	12870.0	Inner membrane transport protein YbaT
contig-100_7	6316.0	6471.0	KEAHIEPK_00201	1367.0	hypothetical protein
contig-100_7	6573.0	6818.0	KEAHIEPK_00202	2160.0	hypothetical protein
contig-100_7	6918.0	7289.0	KEAHIEPK_00203	4421.0	hypothetical protein
contig-100_7	7307.0	7717.0	KEAHIEPK_00204	2871.0	hypothetical protein
contig-100_7	7701.0	8366.0	KEAHIEPK_00205	4980.0	hypothetical protein
contig-100_7	8359.0	8697.0	KEAHIEPK_00206	3835.0	hypothetical protein
contig-100_7	8706.0	9056.0	KEAHIEPK_00207	2714.0	hypothetical protein
contig-100_7	9071.0	11314.0	KEAHIEPK_00208	27270.0	Copper-exporting P-type ATPase
contig-100_8	419.0	1228.0	KEAHIEPK_00209	6568.0	Pimeloyl-[acyl-carrier protein] methyl ester esterase
contig-100_8	1327.0	2040.0	KEAHIEPK_00210	9560.0	hypothetical protein
contig-100_8	2097.0	4754.0	KEAHIEPK_00211	24346.0	hypothetical protein
contig-100_8	4915.0	5493.0	KEAHIEPK_00212	6920.0	Fe/S biogenesis protein NfuA
contig-100_8	5539.0	5769.0	KEAHIEPK_00213	2504.0	hypothetical protein
contig-100_8	5967.0	6671.0	KEAHIEPK_00214	7640.0	Putative racemase YgeA
contig-100_8	6759.0	7142.0	KEAHIEPK_00215	2756.0	hypothetical protein
contig-100_8	7413.0	8147.0	KEAHIEPK_00216	6488.0	Trans-aconitate 2-methyltransferase
contig-100_8	8246.0	9592.0	KEAHIEPK_00217	12041.0	DNA damage-inducible protein F
contig-100_8	9773.0	9970.0	KEAHIEPK_00218	3022.0	hypothetical protein
contig-100_9	132.0	758.0	KEAHIEPK_00219	7059.0	hypothetical protein
contig-100_9	758.0	1825.0	KEAHIEPK_00220	10016.0	hypothetical protein
contig-100_9	2010.0	2396.0	KEAHIEPK_00221	8226.0	hypothetical protein
contig-100_9	2480.0	2680.0	KEAHIEPK_00222	1112.0	hypothetical protein
contig-100_9	2765.0	3343.0	KEAHIEPK_00223	2622.0	hypothetical protein
contig-100_9	3371.0	3637.0	KEAHIEPK_00224	2765.0	hypothetical protein
contig-100_9	3634.0	4161.0	KEAHIEPK_00225	3988.0	putative phycoerythrobilin lyase CpeT
contig-100_9	4177.0	4677.0	KEAHIEPK_00226	3092.0	hypothetical protein
contig-100_9	4674.0	5744.0	KEAHIEPK_00227	6151.0	Flavin-dependent tryptophan halogenase RebH
contig-100_9	5773.0	5919.0	KEAHIEPK_00228	781.0	hypothetical protein
contig-100_9	6291.0	6452.0	KEAHIEPK_00229	1757.0	hypothetical protein
contig-100_9	8731.0	8895.0	KEAHIEPK_00230	2101.0	hypothetical protein
contig-100_9	9850.0	10104.0	KEAHIEPK_00231	3227.0	hypothetical protein
contig-100_10	1.0	666.0	KEAHIEPK_00232	6775.0	Cobalt-zinc-cadmium resistance protein CzcA
contig-100_10	680.0	1768.0	KEAHIEPK_00233	6278.0	Efflux pump periplasmic linker BepF
contig-100_10	1853.0	3910.0	KEAHIEPK_00234	19810.0	Heme transporter BhuA
contig-100_10	3924.0	5054.0	KEAHIEPK_00235	9726.0	hypothetical protein
contig-100_10	5032.0	6462.0	KEAHIEPK_00236	9945.0	Sensor protein PfeS
contig-100_10	6459.0	7148.0	KEAHIEPK_00237	5583.0	Transcriptional regulatory protein CpxR
contig-100_10	7438.0	8550.0	KEAHIEPK_00238	7278.0	putative protein
contig-100_10	8572.0	9222.0	KEAHIEPK_00239	5315.0	Protein YiiM
contig-100_11	130.0	4158.0	KEAHIEPK_00240	34985.0	hypothetical protein
contig-100_11	4168.0	4374.0	KEAHIEPK_00241	2157.0	hypothetical protein
contig-100_11	6727.0	6861.0	KEAHIEPK_00242	897.0	hypothetical protein
contig-100_11	7408.0	7632.0	KEAHIEPK_00243	3168.0	hypothetical protein
contig-100_11	7720.0	7980.0	KEAHIEPK_00244	2184.0	hypothetical protein
contig-100_11	8253.0	8414.0	KEAHIEPK_00245	2132.0	hypothetical protein
contig-100_11	8698.0	8889.0	KEAHIEPK_00246	1081.0	hypothetical protein
contig-100_11	8898.0	9062.0	KEAHIEPK_00247	1318.0	hypothetical protein
contig-100_12	234.0	1049.0	KEAHIEPK_00248	6975.0	hypothetical protein
contig-100_12	1053.0	2339.0	KEAHIEPK_00249	16758.0	hypothetical protein
contig-100_12	2365.0	2715.0	KEAHIEPK_00250	3666.0	hypothetical protein
contig-100_12	2717.0	3472.0	KEAHIEPK_00251	10651.0	hypothetical protein
contig-100_12	3482.0	8638.0	KEAHIEPK_00252	61447.0	hypothetical protein
contig-100_13	379.0	690.0	KEAHIEPK_00253	6306.0	Toxin HigB-2
contig-100_13	693.0	986.0	KEAHIEPK_00254	4820.0	Antitoxin HigA-2
contig-100_13	999.0	1316.0	KEAHIEPK_00255	2850.0	hypothetical protein
contig-100_13	1313.0	2128.0	KEAHIEPK_00256	10253.0	hypothetical protein
contig-100_13	2118.0	2582.0	KEAHIEPK_00257	7138.0	hypothetical protein
contig-100_13	2575.0	3057.0	KEAHIEPK_00258	7012.0	hypothetical protein
contig-100_13	3050.0	3262.0	KEAHIEPK_00259	2917.0	hypothetical protein
contig-100_13	3272.0	3826.0	KEAHIEPK_00260	6905.0	hypothetical protein
contig-100_13	3823.0	4704.0	KEAHIEPK_00261	14521.0	hypothetical protein
contig-100_13	4701.0	5054.0	KEAHIEPK_00262	4301.0	hypothetical protein
contig-100_13	5051.0	5422.0	KEAHIEPK_00263	8465.0	hypothetical protein
contig-100_13	5429.0	5632.0	KEAHIEPK_00264	2588.0	hypothetical protein
contig-100_13	5632.0	6096.0	KEAHIEPK_00265	6639.0	hypothetical protein
contig-100_13	6227.0	6868.0	KEAHIEPK_00266	6043.0	hypothetical protein
contig-100_13	6908.0	7915.0	KEAHIEPK_00267	13526.0	hypothetical protein
contig-100_13	7955.0	8788.0	KEAHIEPK_00268	11187.0	hypothetical protein
contig-100_14	236.0	637.0	KEAHIEPK_00269	5077.0	hypothetical protein
contig-100_14	637.0	1233.0	KEAHIEPK_00270	6357.0	hypothetical protein
contig-100_14	1226.0	2170.0	KEAHIEPK_00271	9763.0	Holliday junction ATP-dependent DNA helicase RuvB
contig-100_14	2167.0	2355.0	KEAHIEPK_00272	2442.0	hypothetical protein
contig-100_14	2358.0	2561.0	KEAHIEPK_00273	1380.0	hypothetical protein
contig-100_14	2561.0	3406.0	KEAHIEPK_00274	8076.0	Modification methylase DpnIIA
contig-100_14	3396.0	3539.0	KEAHIEPK_00275	2966.0	hypothetical protein
contig-100_14	3536.0	3649.0	KEAHIEPK_00276	2044.0	hypothetical protein
contig-100_14	3636.0	3896.0	KEAHIEPK_00277	2614.0	hypothetical protein
contig-100_14	3893.0	4045.0	KEAHIEPK_00278	621.0	hypothetical protein
contig-100_14	4118.0	4639.0	KEAHIEPK_00279	7644.0	Phosphoribosylglycinamide formyltransferase
contig-100_14	4636.0	4812.0	KEAHIEPK_00280	2387.0	hypothetical protein
contig-100_14	4805.0	5029.0	KEAHIEPK_00281	1503.0	hypothetical protein
contig-100_14	4968.0	5360.0	KEAHIEPK_00282	3380.0	hypothetical protein
contig-100_14	5344.0	5775.0	KEAHIEPK_00283	3572.0	hypothetical protein
contig-100_14	5872.0	6324.0	KEAHIEPK_00284	4481.0	Small heat shock protein IbpA
contig-100_14	6354.0	6728.0	KEAHIEPK_00285	3663.0	hypothetical protein
contig-100_14	6712.0	7140.0	KEAHIEPK_00286	5963.0	hypothetical protein
contig-100_14	7091.0	7339.0	KEAHIEPK_00287	2531.0	hypothetical protein
contig-100_15	106.0	825.0	KEAHIEPK_00288	4620.0	hypothetical protein
contig-100_15	1088.0	2287.0	KEAHIEPK_00289	8823.0	Multidrug efflux pump subunit AcrA
contig-100_15	2309.0	5407.0	KEAHIEPK_00290	30607.0	Multidrug resistance protein MexB
contig-100_15	5464.0	5961.0	KEAHIEPK_00291	4849.0	hypothetical protein
contig-100_15	6075.0	7916.0	KEAHIEPK_00292	15131.0	Butanoate coenzyme A-transferase
contig-100_16	4028.0	4291.0	KEAHIEPK_00293	3755.0	hypothetical protein
contig-100_16	6323.0	6463.0	KEAHIEPK_00294	1254.0	hypothetical protein
contig-100_16	7323.0	7772.0	KEAHIEPK_00295	1987.0	Acryloyl-CoA reductase (NADH)
contig-100_17	7.0	165.0	KEAHIEPK_00296	897.0	hypothetical protein
contig-100_17	196.0	1833.0	KEAHIEPK_00297	12373.0	Cytochrome c oxidase subunit 1
contig-100_17	1957.0	2568.0	KEAHIEPK_00298	6381.0	Cytochrome c oxidase assembly protein CtaG
contig-100_17	2592.0	3485.0	KEAHIEPK_00299	9253.0	Cytochrome c oxidase subunit 3
contig-100_17	3501.0	3710.0	KEAHIEPK_00300	1674.0	hypothetical protein
contig-100_17	3756.0	4460.0	KEAHIEPK_00301	6844.0	hypothetical protein
contig-100_17	4453.0	4992.0	KEAHIEPK_00302	3425.0	hypothetical protein
contig-100_17	4998.0	6215.0	KEAHIEPK_00303	10663.0	Heme A synthase
contig-100_17	6208.0	7125.0	KEAHIEPK_00304	6096.0	Protoheme IX farnesyltransferase
contig-100_18	156.0	740.0	KEAHIEPK_00305	4428.0	hypothetical protein
contig-100_18	814.0	3471.0	KEAHIEPK_00306	17133.0	Pyruvate dehydrogenase E1 component
contig-100_18	3565.0	4305.0	KEAHIEPK_00307	3528.0	putative protein
contig-100_18	4272.0	4697.0	KEAHIEPK_00308	4869.0	hypothetical protein
contig-100_19	106.0	2364.0	KEAHIEPK_00309	17306.0	putative type II secretion system protein HxcR
contig-100_19	2753.0	3064.0	KEAHIEPK_00310	4421.0	30S ribosomal protein S10
contig-100_19	3083.0	3721.0	KEAHIEPK_00311	8672.0	50S ribosomal protein L3
contig-100_19	3740.0	4345.0	KEAHIEPK_00312	7809.0	50S ribosomal protein L4
contig-100_19	4342.0	4641.0	KEAHIEPK_00313	2729.0	50S ribosomal protein L23
contig-100_19	4656.0	5480.0	KEAHIEPK_00314	10237.0	50S ribosomal protein L2
contig-100_19	5496.0	5771.0	KEAHIEPK_00315	5438.0	30S ribosomal protein S19
contig-100_19	5783.0	6115.0	KEAHIEPK_00316	6246.0	50S ribosomal protein L22
contig-100_19	6125.0	6829.0	KEAHIEPK_00317	9932.0	30S ribosomal protein S3
contig-100_20	116.0	1027.0	KEAHIEPK_00318	7448.0	Type II secretion system protein F
contig-100_20	1027.0	1464.0	KEAHIEPK_00319	4505.0	Type II secretion system protein G
contig-100_20	1470.0	2096.0	KEAHIEPK_00320	5379.0	Type II secretion system protein H
contig-100_20	2093.0	2521.0	KEAHIEPK_00321	4580.0	Type II secretion system protein I
contig-100_20	2523.0	3149.0	KEAHIEPK_00322	3837.0	Type II secretion system protein J
contig-100_20	3146.0	4192.0	KEAHIEPK_00323	10892.0	Putative type II secretion system protein K
